"","Tree_site","Cadophora_finlandica","Cenococcum_geophilum","Chromelosporium1","Clavulina_cf._amethystina","Clavulina2","Clavulinopsis_helvola","Cortinarius1","Cortinarius2","Cortinarius3","Cortinarius4","Elaphomyces_decipiens","Entoloma1","Genabea1","Geopora1","Geopora2","Geopora3","Hebeloma_cf._atrobrunneum","Hebeloma1","Hebeloma2","Hebeloma3","Helvella1","Hydnobolites1","Inocybe_glabrescens","Inocybe_lacera_var._lacera","Inocybe3","Inocybe4","Inocybe5","Inocybe9","Laccaria_laccata","Laccaria1","Laccaria3","Lactarius_cf._subdulcis","Meliniomyces1","Otidea_cf._bufonia","Peziza1","Peziza2","Peziza3","Peziza4","Russula_emetica","Russula_laccata","Russula_nigricans","Russula_odorata","Russula_pascua","Sebacina_4","Sebacina_6","Sebacina1","Sebacina10","Sebacina11","Sebacina2","Sebacina3","Sebacina9","Thelephora_terristris","Tomentella_cf._bryophila","Tomentella_coerulea","Tomentella_ellisii","Tomentella_ramosissima","Tomentella10","Tomentella11","Tomentella12","Tomentella13","Tomentella14","Tomentella15","Tomentella16","Tomentella17","Tomentella18","Tomentella19","Tomentella2","Tomentella20","Tomentella21","Tomentella3","Tomentella4","Tomentella5","Tomentella6","Tomentella7","Tomentella8","Tomentella9","Tomentellopsis","Tuber1","Tuber2","Tuber3","Tuber4"
"1","10DIS","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.00000000","0.0000000","0.00000000","0.00","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.000","0.0000000","0.0000000","0.0000","0.00000000","0.00000000","0.00000000","0.0000000","0.00000000","0.1","0.00000000","0.00000000","0.0000000","0.00000000","0.00000000","0.00000000","0.8000000","0.0000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0","0.00000","0.00000000","0.00","0.10000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.000","0.00000000","0.00000000","0.00000000","0.0000000","0.00000000","0.00000000","0.0000","0.00000000","0.0000","0.00000000","0.0000000","0.00000000","0.0000000"
"2","10HUM","0.00000000","0.13636364","0.00000000","0.0000000","0.2727273","0.00000000","0.0000000","0.00000000","0.0000000","0.00000000","0.00","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.000","0.0000000","0.1363636","0.0000","0.00000000","0.00000000","0.00000000","0.0000000","0.00000000","0.0","0.00000000","0.00000000","0.0000000","0.00000000","0.00000000","0.00000000","0.4545455","0.0000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0","0.00000","0.00000000","0.00","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.000","0.00000000","0.00000000","0.00000000","0.0000000","0.00000000","0.00000000","0.0000","0.00000000","0.0000","0.00000000","0.0000000","0.00000000","0.0000000"
"3","10PET","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.00000000","0.0000000","0.00000000","0.00","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.000","0.0000000","0.0000000","0.0000","0.00000000","0.00000000","0.00000000","0.0000000","0.04545455","0.0","0.00000000","0.00000000","0.0000000","0.00000000","0.00000000","0.00000000","0.1818182","0.0000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.18181818","0.00000000","0.0000000","0.0","0.00000","0.00000000","0.00","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.000","0.00000000","0.00000000","0.59090909","0.0000000","0.00000000","0.00000000","0.0000","0.00000000","0.0000","0.00000000","0.0000000","0.00000000","0.0000000"
"4","18DIS","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.00000000","0.0000000","0.00000000","0.00","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.03703704","0.00000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.000","0.0000000","0.0000000","0.0000","0.00000000","0.00000000","0.00000000","0.0000000","0.00000000","0.0","0.00000000","0.33333333","0.0000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.0000000","0.0000000","0.00000000","0.03703704","0.00000000","0.00000000","0.03703704","0.00000000","0.0000000","0.0","0.00000","0.00000000","0.00","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.22222222","0.000","0.00000000","0.00000000","0.00000000","0.0000000","0.00000000","0.33333333","0.0000","0.00000000","0.0000","0.00000000","0.0000000","0.00000000","0.0000000"
"5","18PED","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.00000000","0.0000000","0.00000000","0.00","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.29629630","0.03703704","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.000","0.0000000","0.0000000","0.0000","0.00000000","0.00000000","0.00000000","0.0000000","0.00000000","0.0","0.00000000","0.00000000","0.0000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.0000000","0.0000000","0.00000000","0.00000000","0.48148148","0.00000000","0.00000000","0.00000000","0.0000000","0.0","0.00000","0.00000000","0.00","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.000","0.00000000","0.00000000","0.00000000","0.0000000","0.00000000","0.18518519","0.0000","0.00000000","0.0000","0.00000000","0.0000000","0.00000000","0.0000000"
"6","18PET","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.00000000","0.0000000","0.00000000","0.00","0.09090909","0.00000000","0.0000000","0.1363636","0.00000000","0.09090909","0.00000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.000","0.0000000","0.0000000","0.0000","0.00000000","0.00000000","0.00000000","0.0000000","0.00000000","0.0","0.00000000","0.00000000","0.0000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.0000000","0.0000000","0.00000000","0.00000000","0.45454545","0.00000000","0.00000000","0.00000000","0.0000000","0.0","0.00000","0.00000000","0.00","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.09090909","0.000","0.00000000","0.00000000","0.04545455","0.0000000","0.00000000","0.04545455","0.0000","0.00000000","0.0000","0.04545455","0.0000000","0.00000000","0.0000000"
"7","19CAN","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.00000000","0.0000000","0.00000000","0.00","0.00000000","0.00000000","0.0000000","0.0000000","0.04347826","0.04347826","0.00000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.000","0.0000000","0.0000000","0.0000","0.00000000","0.00000000","0.00000000","0.0000000","0.00000000","0.0","0.60869565","0.00000000","0.0000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.04347826","0.00000000","0.0000000","0.0","0.00000","0.00000000","0.00","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.000","0.00000000","0.00000000","0.00000000","0.0000000","0.00000000","0.00000000","0.0000","0.00000000","0.0000","0.00000000","0.2608696","0.00000000","0.0000000"
"8","19PED","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.00000000","0.0000000","0.00000000","0.00","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.29629630","0.00000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.03703704","0.000","0.0000000","0.0000000","0.0000","0.00000000","0.00000000","0.00000000","0.0000000","0.00000000","0.0","0.03703704","0.00000000","0.2222222","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.0000000","0.0000000","0.00000000","0.00000000","0.18518519","0.00000000","0.03703704","0.00000000","0.0000000","0.0","0.00000","0.00000000","0.00","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.000","0.00000000","0.00000000","0.00000000","0.0000000","0.00000000","0.18518519","0.0000","0.00000000","0.0000","0.00000000","0.0000000","0.00000000","0.0000000"
"9","19PET","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.1666667","0.00000000","0.0000000","0.00000000","0.00","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.10000000","0.00000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.000","0.0000000","0.0000000","0.0000","0.00000000","0.00000000","0.00000000","0.0000000","0.00000000","0.0","0.00000000","0.00000000","0.0000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.1666667","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.43333333","0.00000000","0.0000000","0.1","0.00000","0.00000000","0.00","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.000","0.00000000","0.00000000","0.00000000","0.0000000","0.00000000","0.03333333","0.0000","0.00000000","0.0000","0.00000000","0.0000000","0.00000000","0.0000000"
"10","26BEB","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.1000000","0.00000000","0.0000000","0.00000000","0.00","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.06666667","0.000","0.0000000","0.0000000","0.0000","0.00000000","0.06666667","0.03333333","0.0000000","0.00000000","0.0","0.00000000","0.00000000","0.0000000","0.03333333","0.00000000","0.16666667","0.0000000","0.0000000","0.06666667","0.0000000","0.0000000","0.06666667","0.0000000","0.0000000","0.0000000","0.1666667","0.00000000","0.00000000","0.00000000","0.00000000","0.16666667","0.00000000","0.0000000","0.0","0.00000","0.00000000","0.00","0.00000000","0.06666667","0.00000000","0.00000000","0.00000000","0.00000000","0.000","0.00000000","0.00000000","0.00000000","0.0000000","0.00000000","0.00000000","0.0000","0.00000000","0.0000","0.00000000","0.0000000","0.00000000","0.0000000"
